Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Greene, Louis",CHES,29,C,ML,24,0.219,0.24199999999999999,0.313,32,7,3,0,0,4,2,1,7,0,0,1,0
"Grizzell, Curtis",RICH,31,LF,ML,25,0.26400000000000001,0.31900000000000001,0.47099999999999997,87,23,6,0,4,10,16,7,14,0,0,3,0
"Gucman, Shaun",LV,34,SS,ML,25,0.28799999999999998,0.316,0.42499999999999999,73,21,4,0,2,8,8,3,9,0,0,1,0
"Gugerty, Blake",WISC,25,CF,ML,26,0.32700000000000001,0.41,0.495,107,35,9,0,3,17,19,15,16,4,2,1,0
"Gutierrez, Wilson",MAHO,28,CF,ML,11,0.44,0.48099999999999998,0.56000000000000005,25,11,3,0,0,7,5,2,1,0,0,2,0
"Hairston, Herbert",SCRN,31,LF,ML,26,0.27900000000000003,0.33,0.32700000000000001,104,29,2,0,1,8,10,8,16,0,0,5,0
"Halat, George",MIDL,30,3B,ML,26,0.32300000000000001,0.38700000000000001,0.39600000000000002,96,31,3,2,0,12,10,10,17,0,1,1,0
"Hall, Brooks",CHES,27,3B,ML,26,0.27300000000000002,0.316,0.436,110,30,9,0,3,18,10,7,7,0,0,0,0
"Hall, Jaime",TEX,34,RF,ML,25,0.39400000000000002,0.47199999999999998,0.66,94,37,6,2,5,25,18,14,10,0,1,4,0
"Hardison, Alec",LV,35,2B,ML,17,0.19600000000000001,0.26800000000000002,0.23499999999999999,51,10,2,0,0,4,5,5,5,0,0,1,0
"Hart, Owen",ROCK,26,2B,ML,25,0.26900000000000002,0.38700000000000001,0.45200000000000001,93,25,5,0,4,20,9,18,18,0,1,4,1
"Havens, Bob",AUCK,25,1B,ML,5,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
"Hearn, Scott",SF,26,C,ML,2,0.4,0.4,0.6,5,2,1,0,0,2,0,0,0,0,0,0,0
"Hegstad, Terrance",DAY,33,LF,ML,27,0.29699999999999999,0.35499999999999998,0.42599999999999999,101,30,5,1,2,13,9,9,7,1,0,3,0
"Henderson, Montgomery",MIDL,26,3B,ML,26,0.308,0.35699999999999998,0.439,107,33,6,1,2,9,18,8,12,0,1,3,0
"Henderson, Trey",LAKE,30,SS,ML,24,0.26400000000000001,0.38500000000000001,0.44800000000000001,87,23,4,0,4,15,13,17,9,0,0,9,0
"Henry, Sang",ELP,26,CF,ML,26,0.3,0.376,0.41099999999999998,90,27,4,0,2,14,7,11,8,0,1,2,0
"Herrera, Bob",OKC,31,2B,ML,23,0.25,0.28100000000000003,0.435,92,23,6,1,3,7,13,4,8,0,0,3,0
"Hessel, Eddie",CHES,30,C,ML,25,0.23699999999999999,0.26600000000000001,0.35499999999999998,76,18,3,0,2,6,11,3,17,0,0,2,0
"Heuman, Paul",TEX,37,LF,ML,25,0.42699999999999999,0.48599999999999999,0.68799999999999994,96,41,7,0,6,16,19,11,8,3,2,2,0
"Hickman, Mason",NORW,32,C,ML,4,0.75,0.8,0.75,4,3,0,0,0,3,0,1,0,0,0,0,0
"Hicks, Brian",DAY,27,RF,ML,27,0.26400000000000001,0.32200000000000001,0.42499999999999999,106,28,2,3,3,16,13,9,29,0,1,4,0
"Hicks, Dale",MAIN,30,1B,ML,27,0.313,0.33,0.5,112,35,8,2,3,14,15,3,13,0,0,5,0
"Hicks, Dave",IDA,27,LF,ML,25,0.34599999999999997,0.38100000000000001,0.57899999999999996,107,37,5,1,6,18,20,6,8,0,0,2,0
"Hill, George",BANG,30,3B,ML,24,0.38600000000000001,0.46,0.54500000000000004,88,34,5,0,3,12,15,12,16,0,0,6,0
"Hockey, Johnny",OKC,28,C,ML,23,0.253,0.309,0.49399999999999999,87,22,6,0,5,15,20,7,10,0,0,4,0
