Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Price, Manuel",CASP,24,3B,ML,18,0.38500000000000001,0.42899999999999999,0.61499999999999999,13,5,0,0,1,1,6,1,0,0,0,0,0
"Pufnstuf, H.R.",FRIS,35,RF,ML,1716,0.28999999999999998,0.372,0.46,6302,1829,343,19,229,1016,948,826,1200,64,55,279,15
"Quintanilla, Jason",FRIS,23,CF,ML,23,0.20499999999999999,0.26300000000000001,0.29499999999999998,88,18,5,0,1,8,12,7,10,0,1,3,1
"Quinto, Marsh",CASP,26,C,ML,485,0.251,0.30199999999999999,0.36199999999999999,1547,388,65,4,33,185,181,113,154,4,6,32,2
"Rawls, Toots",OKC,31,3B,ML,1097,0.30399999999999999,0.36599999999999999,0.52400000000000002,4275,1299,163,22,244,691,794,420,662,6,11,132,10
"Ray, Irv",DAY,30,2B,ML,1196,0.313,0.35,0.47599999999999998,4683,1465,313,6,146,653,700,270,263,38,30,227,6
"Redmond, Bill",CHES,30,CF,ML,544,0.26100000000000001,0.311,0.35699999999999998,790,206,29,7,11,119,70,58,55,33,14,29,1
"Reeve, Eric",OMA,32,C,ML,897,0.25600000000000001,0.33900000000000002,0.502,3297,845,156,6,214,575,612,415,801,4,6,116,4
"Rice, Andrew",CHES,39,2B,ML,2671,0.30299999999999999,0.379,0.51400000000000001,9993,3032,583,22,491,1681,1802,1223,1139,6,14,297,10
"Rice, Antonio",FRIS,29,3B,ML,256,0.27100000000000002,0.32600000000000001,0.44400000000000001,790,214,50,0,29,120,119,64,129,0,2,27,2
"Richard, Rich",PORT,33,2B,ML,1102,0.28000000000000003,0.35299999999999998,0.47,4217,1179,170,4,208,677,742,479,749,2,7,170,6
"Richards, Roy",PEOR,26,C,ML,72,0.251,0.26700000000000002,0.35499999999999998,231,58,15,0,3,23,19,5,14,1,1,17,1
"Riggleman, Gary",LAKE,30,C,ML,740,0.28199999999999997,0.35099999999999998,0.37,2170,611,104,3,27,351,241,231,271,7,7,111,4
"Rivera, Mike",CASP,31,1B,ML,710,0.33200000000000002,0.36499999999999999,0.47499999999999998,2807,932,219,7,56,399,302,147,178,1,7,128,6
"Robinson, Raul",FRIS,35,C,ML,1275,0.26300000000000001,0.33900000000000002,0.48199999999999998,4320,1136,134,32,249,680,719,496,901,1,8,148,8
"Rowley, Charles",SCRN,30,2B,ML,727,0.26700000000000002,0.32800000000000001,0.45800000000000002,2175,580,108,21,89,335,340,199,487,0,3,84,2
"Rudel, Richard",ROCK,28,RF,ML,282,0.28599999999999998,0.35099999999999998,0.38800000000000001,706,202,38,2,10,106,77,71,79,20,11,30,1
"Rudolph, Heath",CASP,34,1B,ML,1086,0.31,0.38300000000000001,0.42099999999999999,3833,1187,218,15,60,573,492,453,457,2,8,146,3
"Ruel, Muddy",ROCK,32,3B,ML,1162,0.312,0.38200000000000001,0.499,4329,1350,248,25,171,656,740,492,687,0,8,170,8
"Ruelas, Samuel",TEX,36,LF,ML,1336,0.30099999999999999,0.36899999999999999,0.48799999999999999,4793,1441,201,34,209,791,826,517,603,12,15,143,9
"Ruiz, Pedro",CASP,24,2B,ML,83,0.26300000000000001,0.32200000000000001,0.38700000000000001,243,64,7,1,7,34,26,21,36,0,1,4,1
"Ruppel, Kyle",ROCK,35,C,ML,1913,0.26800000000000002,0.36,0.53400000000000003,6980,1874,273,0,527,1321,1310,992,1846,1,13,172,13
"Ryder, Jesse",AUCK,29,1B,ML,1000,0.316,0.38700000000000001,0.56699999999999995,3913,1238,291,13,221,675,790,451,876,6,9,193,6
"Ryerson, Ned",FRIS,35,1B,ML,1720,0.29299999999999998,0.38500000000000001,0.499,6118,1791,241,24,325,1002,1105,917,1055,2,17,220,17
"Sadler, Benito",WISC,37,3B,ML,1980,0.29399999999999998,0.35399999999999998,0.48499999999999999,7838,2305,388,35,346,1226,1358,726,871,8,26,325,20
"Salazar, Pedro",CHES,27,1B,ML,506,0.313,0.36099999999999999,0.55700000000000005,2074,650,160,24,99,354,390,154,335,0,2,76,1
"Sanchez, Roger",ROCK,32,1B,ML,1245,0.30299999999999999,0.35799999999999998,0.53300000000000003,4698,1424,311,49,223,761,868,404,764,1,6,176,6
"Sanderman, Will",OMA,31,LF,ML,551,0.30399999999999999,0.36399999999999999,0.47299999999999998,1939,589,103,17,64,269,302,183,285,0,3,87,3
"Sanders, Jose",ELP,29,3B,ML,716,0.30199999999999999,0.376,0.40400000000000003,2735,827,144,11,37,388,315,323,244,1,6,157,3
"Schindler, Jimmy",ALTO,35,SS,ML,1432,0.30199999999999999,0.35699999999999998,0.40899999999999997,4976,1504,268,32,67,696,628,426,813,27,32,192,7
"Scott, Dave",BANG,28,CF,ML,628,0.30499999999999999,0.33900000000000002,0.48,2324,709,131,10,85,361,361,118,381,86,47,70,4
"Scott, Rogelio",NORW,25,3B,ML,150,0.309,0.35099999999999998,0.40400000000000003,230,71,17,1,1,36,27,15,24,9,10,6,0
"Seay, Jim",AUCK,29,3B,ML,282,0.30499999999999999,0.34300000000000003,0.35199999999999998,383,117,14,2,0,64,43,22,31,26,15,9,1
"Sehnert, Jack",EDMO,36,C,ML,1763,0.27700000000000002,0.33800000000000002,0.375,5396,1492,199,23,95,691,687,499,714,129,91,189,6
"Selleck, John",MIDL,28,CF,ML,255,0.33400000000000002,0.35899999999999999,0.40100000000000002,583,195,26,5,1,100,67,22,40,23,11,25,2
"Sharko, Bryan",BANG,28,SS,ML,795,0.28799999999999998,0.35799999999999998,0.41699999999999998,3076,885,157,19,68,518,371,335,561,246,93,76,7
"Sheladia, Bill",OMA,34,1B,ML,1853,0.27500000000000002,0.35099999999999998,0.52,6931,1909,301,18,452,1201,1321,806,1594,0,6,164,5
"Shelor Jr, Minh",PORT,32,3B,ML,1327,0.314,0.34300000000000003,0.42199999999999999,4771,1500,253,15,76,615,571,211,355,59,46,229,3
"Shelton, Lawrence",IDA,30,SS,ML,362,0.26200000000000001,0.30399999999999999,0.43,1025,269,32,7,42,126,142,61,201,0,3,24,2
"Sherretts, Brock",AUCK,28,2B,ML,1040,0.32,0.35499999999999998,0.44700000000000001,4256,1363,321,3,71,615,529,229,587,86,62,165,6
"Silva, Anthony",LAKE,31,RF,ML,1062,0.3,0.38100000000000001,0.47299999999999998,4069,1221,191,22,156,738,625,532,481,6,7,133,7
"Singer, Ron",ALTO,25,2B,ML,8,0.28999999999999998,0.371,0.58099999999999996,31,9,3,0,2,7,6,4,5,0,0,1,0
"Sirin, Michael",SF,23,RF,ML,155,0.26700000000000002,0.34100000000000003,0.44500000000000001,506,135,25,4,19,79,75,57,74,16,13,20,2
"Sittloh, Jacob",MAHO,31,CF,ML,691,0.313,0.36,0.49099999999999999,2747,859,126,7,117,428,467,202,346,0,3,105,3
"Sloan, Anthony (2)",ERIE,31,CF,ML,976,0.30599999999999999,0.38800000000000001,0.38400000000000001,2484,760,119,12,17,381,297,334,213,119,75,80,10
"Slusarski, Dan",ALTO,30,2B,ML,798,0.29499999999999998,0.36099999999999999,0.49099999999999999,3139,925,165,29,131,504,550,327,331,22,16,112,4
"Snider, Jack",ROME,26,CF,ML,147,0.312,0.372,0.51100000000000001,507,158,26,3,23,86,83,49,91,1,4,16,0
"Snow, Jon",NORW,28,LF,ML,792,0.29399999999999998,0.33800000000000002,0.53800000000000003,3115,916,319,30,127,508,570,209,522,4,9,117,8
"Sockwell, Sam",MAHO,26,CF,ML,6,0.28599999999999998,0.31,0.60699999999999998,28,8,0,0,3,5,5,1,6,0,0,0,0
"Soules, John",RICH,24,SS,ML,7,7.0999999999999994E-2,7.0999999999999994E-2,7.0999999999999994E-2,14,1,0,0,0,0,0,0,2,0,0,0,0
"Spataro, Dominic",EDMO,36,3B,ML,1711,0.26600000000000001,0.316,0.39800000000000002,6137,1631,205,17,190,822,917,450,728,5,19,291,5
"Spidell, Joe",BANG,28,1B,ML,431,0.29799999999999999,0.375,0.47899999999999998,1525,454,101,7,54,255,230,188,203,49,37,50,5
"Sprecher, Bill",SF,32,C,ML,372,0.21,0.28599999999999998,0.33300000000000002,628,132,21,1,18,81,88,67,168,0,2,12,2
"Stclair, Courtney",WISC,34,2B,ML,1064,0.30599999999999999,0.33900000000000002,0.44700000000000001,3623,1109,179,15,100,514,488,179,294,6,4,171,3
"Stennis, William",LAKE,36,3B,ML,1879,0.28999999999999998,0.35899999999999999,0.51100000000000001,7084,2054,491,32,338,1201,1275,763,1256,8,29,183,10
"Stephens, Charles",IDA,26,RF,ML,3,0.66700000000000004,0.66700000000000004,0.66700000000000004,3,2,0,0,0,0,0,0,0,0,0,1,0
"Sterlace, Douglas",ERIE,25,1B,ML,26,0.316,0.4,0.51900000000000002,79,25,8,1,2,15,7,11,5,0,2,4,0
"Stokes, Grady",DAY,28,LF,ML,510,0.29299999999999998,0.35699999999999998,0.43,1794,526,69,9,53,281,226,178,222,13,19,45,3
"Sturgis, Lou",SUGR,28,3B,ML,778,0.29399999999999998,0.36699999999999999,0.45,2795,821,167,11,83,428,412,324,307,7,8,124,4
"Sweeney, Joe",EDMO,31,CF,ML,930,0.28999999999999998,0.32500000000000001,0.38300000000000001,3374,979,183,22,29,494,390,176,535,257,90,84,4
"Thompson, Ralph (42)",PEOR,24,CF,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Threats, Alejandro",ROCK,29,CF,ML,306,0.26300000000000001,0.309,0.42299999999999999,506,133,22,1,19,65,83,34,89,2,1,23,1
"Tigano, Grady",PORT,27,LF,ML,194,0.247,0.318,0.377,361,89,15,4,8,71,53,38,46,28,13,24,1
"Torres, Dennis",ROCK,26,RF,ML,383,0.29299999999999998,0.379,0.38900000000000001,1188,348,65,2,15,187,143,165,135,63,29,50,2
"Trask, Cal",OMA,36,2B,ML,1837,0.27200000000000002,0.374,0.437,6689,1818,351,11,243,1134,971,1090,1274,94,55,224,12
"Treptow, Dave",MAIN,34,CF,ML,1394,0.29699999999999999,0.36299999999999999,0.441,5154,1529,327,25,122,764,775,540,788,63,53,216,10
"Triola, Paul",FRIS,29,RF,ML,811,0.28699999999999998,0.35799999999999998,0.48299999999999998,3011,863,200,17,119,457,485,335,542,7,10,86,8
"Tunney, Isaac",EDMO,35,SS,ML,1860,0.29299999999999998,0.35499999999999998,0.379,6571,1923,210,69,73,1007,775,638,691,475,202,186,13
"Turkel, Israel",ROME,33,C,ML,291,0.28199999999999997,0.34499999999999997,0.38400000000000001,476,134,20,4,7,92,43,46,63,28,17,16,1
"Unique, Ason",LOUI,26,3B,ML,258,0.27400000000000002,0.35299999999999998,0.48299999999999998,893,245,33,3,49,144,152,108,148,4,6,39,1
"Urquidez, Bobby",ERIE,27,C,ML,475,0.28299999999999997,0.34899999999999998,0.42599999999999999,1666,471,85,9,45,247,217,169,245,10,3,42,0
"Vandewater, Taran",OKC,30,1B,ML,758,0.29699999999999999,0.371,0.47399999999999998,2611,775,135,14,100,446,382,307,369,165,91,91,7
"Vanhaitsma, Ben",ALTO,34,3B,ML,1458,0.30499999999999999,0.33,0.40600000000000003,5160,1576,282,43,50,673,614,189,374,10,17,174,9
"Varga, Ignacio",WISC,36,LF,ML,1784,0.30599999999999999,0.36599999999999999,0.45300000000000001,6814,2087,344,61,177,1024,937,647,1036,6,12,226,9
"Varughese, Fritz",MIDL,30,2B,ML,403,0.28299999999999997,0.32100000000000001,0.41199999999999998,822,233,49,0,19,123,115,46,117,19,10,31,0
"Vasquez, Bob",DAY,35,SS,ML,1731,0.29499999999999998,0.371,0.48899999999999999,6628,1953,309,9,320,1116,1047,799,1265,253,131,289,9
"Vasquez, Dick",OKC,31,SS,ML,1067,0.28799999999999998,0.33200000000000002,0.41699999999999998,3965,1142,224,13,87,574,477,264,263,166,84,146,3
"Verrill, Johnnie",DAY,28,C,ML,587,0.27400000000000002,0.29899999999999999,0.40300000000000002,1932,530,101,2,48,198,265,69,187,0,5,38,4
"Vile, Durance",CASP,23,SS,ML,53,0.27600000000000002,0.33300000000000002,0.4,210,58,4,2,6,31,16,18,26,0,0,4,0
"Villalobos, Pete",NORW,25,2B,ML,287,0.28299999999999997,0.32300000000000001,0.45400000000000001,1032,292,63,9,32,144,157,61,198,0,0,42,0
"Visalli, Ronnie",LOUI,29,RF,ML,646,0.255,0.35,0.503,2419,617,112,2,161,444,351,355,693,17,4,53,3
"Vorenus, Lucius",CASP,27,CF,ML,806,0.34899999999999998,0.39100000000000001,0.58799999999999997,3470,1210,323,12,161,634,525,238,335,11,9,89,6
"Wade, Bruno",ELP,25,1B,ML,179,0.27,0.317,0.435,648,175,37,2,22,83,91,45,73,0,0,13,0
