Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
Last3,"Stclair, Courtney",WISC,34,2B,ML,133,0.31900000000000001,0.35099999999999998,0.46,326,104,20,1,8,42,51,16,30,1,0,19,0
Last3,"Stennis, William",LAKE,36,3B,ML,196,0.26100000000000001,0.311,0.41699999999999998,671,175,30,3,23,96,101,49,127,0,3,18,3
Last3,"Stephens, Charles",IDA,26,RF,ML,3,0.66700000000000004,0.66700000000000004,0.66700000000000004,3,2,0,0,0,0,0,0,0,0,0,1,0
Last3,"Sterlace, Douglas",ERIE,25,1B,ML,26,0.316,0.4,0.51900000000000002,79,25,8,1,2,15,7,11,5,0,2,4,0
Last3,"Stokes, Grady",DAY,28,LF,ML,333,0.29799999999999999,0.35699999999999998,0.45400000000000001,1228,366,46,7,44,197,168,112,153,6,11,27,2
Last3,"Sturgis, Lou",SUGR,28,3B,ML,342,0.29699999999999999,0.373,0.45900000000000002,1242,369,73,4,40,200,193,151,130,1,4,55,2
Last3,"Sweeney, Joe",EDMO,31,CF,ML,340,0.27200000000000002,0.307,0.36499999999999999,1218,331,63,7,12,177,129,62,225,71,26,32,2
Last3,"Thompson, Ralph (42)",PEOR,24,CF,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last3,"Threats, Alejandro",ROCK,29,CF,ML,147,0.28499999999999998,0.34899999999999998,0.45300000000000001,172,49,8,0,7,24,23,17,27,0,0,8,0
Last3,"Tigano, Grady",PORT,27,LF,ML,163,0.245,0.313,0.35599999999999998,306,75,10,3,6,59,47,30,34,24,10,20,0
Last3,"Torres, Dennis",ROCK,26,RF,ML,310,0.307,0.39800000000000002,0.40799999999999997,912,280,52,2,12,144,111,138,102,49,24,42,1
Last3,"Trask, Cal",OMA,36,2B,ML,282,0.26900000000000002,0.374,0.43,1039,280,50,0,39,177,134,173,212,0,3,36,2
Last3,"Treptow, Dave",MAIN,34,CF,ML,325,0.28100000000000003,0.34499999999999997,0.40100000000000002,1188,334,64,3,24,144,149,116,159,2,5,46,2
Last3,"Triola, Paul",FRIS,29,RF,ML,333,0.28799999999999998,0.36,0.47299999999999998,1221,352,76,3,48,191,210,137,209,0,4,44,4
Last3,"Tunney, Isaac",EDMO,35,SS,ML,315,0.28599999999999998,0.35399999999999998,0.373,1058,303,32,9,14,135,125,110,113,80,31,21,1
Last3,"Turkel, Israel",ROME,33,C,ML,138,0.28999999999999998,0.34899999999999998,0.374,310,90,12,1,4,44,27,28,44,11,11,9,1
Last3,"Unique, Ason",LOUI,26,3B,ML,185,0.27500000000000002,0.35899999999999999,0.498,625,172,23,1,38,102,111,82,108,3,3,31,1
Last3,"Urquidez, Bobby",ERIE,27,C,ML,189,0.27700000000000002,0.34300000000000003,0.41899999999999998,589,163,33,3,15,81,80,59,107,3,1,19,0
Last3,"Vandewater, Taran",OKC,30,1B,ML,296,0.316,0.38500000000000001,0.52400000000000002,1123,355,68,8,50,212,191,125,143,37,14,47,3
Last3,"Vanhaitsma, Ben",ALTO,34,3B,ML,263,0.30599999999999999,0.33,0.41099999999999998,771,236,48,3,9,101,94,27,45,0,2,29,1
Last3,"Varga, Ignacio",WISC,36,LF,ML,314,0.3,0.372,0.41199999999999998,1135,340,47,9,21,175,155,131,183,0,1,48,1
Last3,"Varughese, Fritz",MIDL,30,2B,ML,274,0.28599999999999998,0.318,0.40899999999999997,704,201,42,0,15,104,94,33,98,12,6,28,0
Last3,"Vasquez, Bob",DAY,35,SS,ML,343,0.28000000000000003,0.35899999999999999,0.42299999999999999,1262,353,38,1,47,200,162,155,243,33,12,55,0
