Period,Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
Career,"Grant, Nathan",SCRN,27,P,ML,5.31,11,6,17,4,155,0,0,0,211.67,102,76,290,47,2,23,14,3,1,10,0,146,125,0.314,0.36599999999999999,0.443
Career,"Gravas, Latka",RICH,24,P,ML,6.17,2,1,0,0,12,2,0,0,23.33,15,6,30,4,0,1,1,1,0,2,0,16,16,0.3,0.34,0.37
Career,"Green, Jason",EDMO,29,P,ML,4.9400000000000004,13,20,20,8,213,0,0,0,302.33,234,106,331,62,4,32,4,5,1,14,0,170,166,0.26700000000000002,0.32500000000000001,0.40100000000000002
Career,"Greene, Reuben",WISC,28,P,ML,4.3,17,13,1,1,49,41,1,1,245,165,120,267,44,2,19,10,6,1,20,0,124,117,0.26600000000000001,0.34499999999999997,0.371
Career,"Griffin, Stewie",MIDL,27,P,ML,5.18,28,13,16,5,235,1,0,0,448.33,320,161,549,73,10,50,18,16,6,44,0,274,258,0.28999999999999998,0.34499999999999997,0.41799999999999998
Career,"Griffith, Del",CASP,32,P,ML,3.97,21,34,228,45,415,0,0,0,491.67,106,146,573,54,7,36,31,18,2,28,0,241,217,0.28000000000000003,0.32800000000000001,0.36599999999999999
Career,"Grimes, Ed",NORW,32,P,ML,5.48,51,55,1,2,227,160,10,5,1003,472,334,1229,215,15,142,37,24,3,94,0,661,611,0.28999999999999998,0.34200000000000003,0.44800000000000001
Career,"Gulley, Roberto",FRIS,27,P,ML,4.91,23,15,11,11,207,0,0,0,383,182,150,459,74,14,43,12,5,2,30,0,228,209,0.28499999999999998,0.34599999999999997,0.42899999999999999
Career,"Gus, Cannonball",BANG,25,P,ML,14.04,1,1,0,0,3,3,0,0,8.33,4,5,21,0,0,2,1,0,0,4,0,16,13,0.45700000000000002,0.51,0.58699999999999997
Career,"Haas, Murray",WISC,36,P,ML,4.37,45,41,55,22,473,15,0,0,871,575,230,917,178,10,119,29,21,5,48,0,462,423,0.26,0.30499999999999999,0.41699999999999998
Career,"Hackney, Jim",DAY,25,P,ML,4.71,3,0,1,0,41,0,0,0,57.33,53,20,60,17,0,9,0,0,0,6,0,30,30,0.25900000000000001,0.317,0.44800000000000001
Career,"Hamilton, Craig",FRIS,24,P,ML,2.88,2,2,0,0,5,5,1,1,34.33,16,8,34,10,0,3,1,1,0,0,0,11,11,0.248,0.28999999999999998,0.38700000000000001
Career,"Hammond, Tyrone",LV,35,P,ML,5.05,83,81,35,10,384,208,8,4,1462,1295,459,1658,317,33,230,16,18,7,72,0,851,820,0.27400000000000002,0.32600000000000001,0.45200000000000001
Career,"Hampton, Frank",ELP,30,P,ML,5.46,40,59,11,5,218,134,3,2,860.33,430,333,890,222,12,134,46,28,0,46,0,549,522,0.25600000000000001,0.32200000000000001,0.443
Career,"Hariri, Shane",TEX,36,P,ML,5.04,48,50,51,22,585,1,0,0,1031.33,573,395,1137,223,25,142,49,35,5,50,0,620,578,0.26900000000000002,0.33100000000000002,0.434
Career,"Haugen, Garrett",AUCK,30,P,ML,6.19,5,17,3,2,90,21,0,0,183.33,236,62,219,70,6,37,10,2,1,10,0,133,126,0.28499999999999998,0.33800000000000002,0.53600000000000003
Career,"Heathcock, Manny",CASP,27,P,ML,3.6,0,0,1,1,10,0,0,0,10,8,8,5,1,0,1,2,0,0,0,0,6,4,0.14299999999999999,0.30199999999999999,0.25700000000000001
Career,"Hermanstorfer, Jason",ERIE,37,P,ML,4.37,148,138,1,0,445,425,9,6,2502.33,1868,846,2637,404,40,298,84,59,14,154,0,1307,1215,0.26,0.317,0.39600000000000002
Career,"Hert, Thomas",MAHO,34,P,ML,4.3499999999999996,101,76,0,0,260,255,29,10,1569.67,737,461,1689,268,18,193,58,50,6,82,0,807,759,0.26400000000000001,0.313,0.40200000000000002
Career,"Hochnadel, Jim",DAY,29,P,ML,4.42,18,23,6,5,166,34,5,3,398.67,274,153,462,68,6,37,4,9,4,14,0,209,196,0.27900000000000003,0.34,0.39400000000000002
Career,"Hodgkinson, Mark",WISC,32,P,ML,4.3,91,91,0,0,270,270,26,13,1658.67,1106,691,1597,339,23,186,56,38,8,100,0,838,792,0.24299999999999999,0.315,0.38600000000000001
