Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Re, James",OMA,28,P,ML,5.72,4,5,6,3,53,5,0,0,102.33,79,40,113,33,4,21,8,2,4,14,0,72,65,0.26900000000000002,0.33300000000000002,0.51700000000000002
"Reimenschneider, Jay",EDMO,34,P,ML,3.74,11,8,0,2,28,26,0,0,173.33,120,48,171,39,4,15,3,2,0,8,0,72,72,0.247,0.29599999999999999,0.38100000000000001
"Repetti, Cameron",LAKE,34,P,ML,6.26,2,3,5,2,35,8,0,0,69,34,26,84,14,1,9,9,2,1,2,0,51,48,0.28899999999999998,0.34699999999999998,0.436
"Riker, William",RICH,24,P,ML,6,0,0,0,0,7,0,0,0,6,2,1,11,2,0,2,0,0,1,2,0,4,4,0.379,0.4,0.65500000000000003
"Ristig, Joe",ELP,29,P,ML,5.82,7,2,1,1,61,0,0,0,111.33,69,31,141,20,3,13,4,2,2,22,0,75,72,0.29699999999999999,0.34,0.434
"Robinson, Mike",ERIE,26,P,ML,5.0199999999999996,0,1,0,1,8,0,0,0,14.33,13,7,22,3,0,1,0,0,0,0,0,8,8,0.33800000000000002,0.40300000000000002,0.43099999999999999
"Rocher, Harvey",ROCK,31,P,ML,2.86,2,1,32,2,50,0,0,0,44,29,17,49,4,0,4,1,0,0,0,0,17,14,0.27100000000000002,0.33300000000000002,0.35899999999999999
"Roddy, Rowdy",PORT,24,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Rogers, Santiago",TEX,35,P,ML,5.58,12,12,0,0,32,32,1,0,177.33,98,49,199,34,1,27,8,1,3,12,0,111,110,0.27200000000000002,0.318,0.432
"Rortugal, Dwigt",MAHO,27,P,ML,8.25,3,3,0,0,11,7,0,0,36,27,30,47,6,0,4,0,0,0,4,0,36,33,0.30299999999999999,0.41599999999999998,0.41899999999999998
"Rossi, Darryl",DAY,31,P,ML,5.93,10,13,0,0,32,32,2,0,176,91,45,224,36,0,33,15,4,1,6,0,118,116,0.29799999999999999,0.33800000000000002,0.47699999999999998
"Rothrock, Keagan",MIDL,30,P,ML,4.3,17,11,0,0,32,32,4,2,213.67,125,95,202,45,2,20,3,3,2,8,0,112,102,0.24,0.317,0.36899999999999999
"Roy, Jean-Yves",MAIN,30,P,ML,4.13,3,6,18,9,36,3,0,0,48,35,14,54,9,4,3,4,0,1,0,0,23,22,0.27300000000000002,0.32100000000000001,0.40400000000000003
"Salisbury, Wade",OKC,27,P,ML,5.27,2,1,8,2,38,0,0,0,41,34,13,46,9,1,5,1,0,1,6,0,25,24,0.27200000000000002,0.32400000000000001,0.42599999999999999
"Salvant, Charlie",SCRN,28,P,ML,5.7,6,17,0,0,33,33,3,3,173.67,134,65,195,47,3,37,3,4,0,8,0,120,110,0.27200000000000002,0.33300000000000002,0.501
"SanDiego, Carmen",PORT,26,P,ML,4.42,10,6,0,0,32,32,2,1,185.33,106,46,197,32,2,20,10,9,2,12,0,96,91,0.26200000000000001,0.30399999999999999,0.38900000000000001
"Santiago, Robert",DAY,31,P,ML,4.92,1,6,5,3,56,0,0,0,104.33,39,30,110,25,3,12,4,5,1,8,0,60,57,0.26,0.309,0.41799999999999998
"Sanz, Eugene",BANG,29,P,ML,5.52,6,10,1,1,37,22,1,0,145,97,42,173,27,2,25,3,4,0,12,0,89,89,0.28499999999999998,0.33100000000000002,0.45900000000000002
"Schmal, Anthony",LOUI,25,P,ML,6.08,3,2,0,0,8,8,0,0,37,15,16,48,5,0,7,4,2,0,2,0,29,25,0.30199999999999999,0.36599999999999999,0.46500000000000002
"Schnackenberg, Peyton",SF,38,P,ML,5.09,4,9,2,0,28,19,0,0,97.33,65,38,133,24,2,6,2,2,0,6,0,61,55,0.313,0.36899999999999999,0.42099999999999999
"Schoeck, Otis",SCRN,23,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Schoolman, Jesse",CASP,30,P,ML,3.05,1,0,1,1,30,0,0,0,38.33,24,8,41,3,3,6,0,0,0,2,0,17,13,0.26300000000000001,0.29899999999999999,0.436
"Schroeder, Boyd",BANG,30,P,ML,4.54,15,8,0,0,33,33,2,0,208.33,133,72,214,34,4,24,4,3,0,10,0,111,105,0.255,0.314,0.39100000000000001
"Schroll, Cal",MIDL,26,P,ML,5.81,6,6,0,0,29,26,1,1,136.33000000000001,50,44,180,35,0,17,1,2,1,10,0,95,88,0.30599999999999999,0.35399999999999998,0.45200000000000001
"Scott, Mark",LAKE,26,P,ML,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
"Sebek, Dale",SF,33,P,ML,6.13,7,12,0,0,32,32,0,0,174.67,97,75,213,33,5,19,5,4,0,6,0,128,119,0.28899999999999998,0.35499999999999998,0.42499999999999999
"Shaffer, Tom",ROCK,31,P,ML,3.25,6,1,4,2,59,0,0,0,99.67,59,32,96,16,1,9,5,3,1,2,0,43,36,0.24299999999999999,0.3,0.35699999999999998
"Shakespeare, William",SUGR,29,P,ML,4.28,10,13,0,0,32,32,0,0,197.67,170,81,184,45,1,24,4,3,0,6,0,95,94,0.23699999999999999,0.309,0.39
"Shooter, Hipp",LOUI,28,P,ML,3.17,16,5,1,0,46,18,0,0,162,77,48,159,8,1,11,14,6,1,4,0,58,57,0.247,0.29899999999999999,0.313
"Simmoms, Anthony",MAHO,28,P,ML,4.74,1,0,1,0,14,0,0,0,19,8,10,26,4,0,1,0,1,1,0,0,11,10,0.313,0.38700000000000001,0.39800000000000002
"Simmons, Bill",TEX,32,P,ML,4.1900000000000004,5,4,1,2,52,0,0,0,92.33,30,32,91,7,2,13,0,3,0,0,0,43,43,0.247,0.308,0.38300000000000001
"Smith, Winston",NORW,23,P,ML,9.31,0,1,0,0,5,5,0,0,19.329999999999998,7,6,42,3,0,0,0,1,0,2,0,23,20,0.42,0.45300000000000001,0.45
"Snowden, Vernon",FRIS,32,P,ML,5.21,5,6,1,0,32,16,0,0,103.67,67,34,128,27,3,16,1,1,0,12,0,62,60,0.29199999999999998,0.34200000000000003,0.47599999999999998
"Snyder, Seth",EDMO,32,P,ML,6.75,6,4,0,1,23,15,0,0,96,44,59,120,14,4,8,9,4,1,10,0,73,72,0.29399999999999998,0.38300000000000001,0.40699999999999997
"Stanger, Gordon (10)",FRIS,25,P,ML,4.67,1,2,3,2,45,0,0,0,54,19,33,63,7,0,4,2,1,0,6,0,33,28,0.28000000000000003,0.372,0.36399999999999999
